== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
-37.34076 -0.09106445 3.297654
-37.29532 -0.1161804 3.32862
-37.26773 -0.1714172 3.299795
-37.18173 -0.2268677 3.301537
-37.10071 -0.2326965 3.309165
-36.85999 0.01479344 3.242189
-36.54868 0.07641564 3.0284
-36.48401 -0.01907349 3.109683
-36.48779 -0.1258545 3.173268
-36.53256 -0.1618347 3.19917
-36.64001 -0.1292725 3.158454
-36.81015 -0.1356201 3.136276
-36.88617 -0.08798218 3.15512
-36.8613 -0.009887695 3.166104
-36.68283 0.05117894 3.177597
-36.25812 0.1031472 3.171822
-35.92282 0.1568182 3.234359
-35.55524 0.4400568 3.163163
-35.17065 0.5606287 2.93565
-34.8558 0.1866606 3.003973
-34.44693 0.02822544 3.099168
-33.87183 0.1894489 2.97178
-33.17389 0.1550702 2.799799
-32.50259 0.0996205 2.830122
-31.88516 0.1917597 2.982546
-31.33514 0.3467805 2.821511
-30.86475 0.0313502 2.800816
-30.33917 -0.2495728 2.881359
-29.76056 -0.2584534 2.919592
-29.24661 -0.1736755 2.822298
-28.72269 -0.1047363 2.827797
-28.22089 0.08037481 2.675566
-27.87357 -0.05505371 2.679497
-27.62543 -0.4866943 2.749777
-27.36154 -0.5982056 2.625248
-26.87402 -0.6143799 2.390029
-26.35324 -0.7525635 2.193845
-26.01065 -0.9915161 2.152658
-25.56107 -0.9201355 2.177436
-25.14597 -0.8577881 1.940482
-24.81436 -0.9301147 1.884628
-24.55051 -1.011932 1.889777
-24.15234 -0.9142761 1.770279
-23.65854 -0.8674316 1.667158
-23.19852 -1.011292 1.459828
-22.80008 -1.290283 1.457626
-22.43314 -1.430511 1.488404
-22.1239 -1.353912 1.51362
-21.797 -1.239838 1.489391
-21.49884 -1.241791 1.41321
-21.27151 -1.299561 1.30311
-20.97574 -1.478821 1.22601
